entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Jalisco,subdel,Entre 60 y 65 años,202507,1115,1035,80,0,300,292,8,0,300
Jalisco,subdel,Entre 65 y 70 años,202507,411,376,35,0,60,60,0,0,60
Jalisco,subdel,Entre 70 y 75 años,202507,122,105,17,0,14,14,0,0,14
Michoacán de Ocampo,subdel,75 años y más,202507,67,64,3,0,2,2,0,0,2
Michoacán de Ocampo,subdel,Entre 15 y 20 años,202507,40,39,1,0,1,0,1,0,1
Michoacán de Ocampo,subdel,Entre 20 y 25 años,202507,509,487,22,0,18,17,1,0,18
Michoacán de Ocampo,subdel,Entre 25 y 30 años,202507,716,694,22,0,16,15,1,0,16
Michoacán de Ocampo,subdel,Entre 30 y 35 años,202507,765,728,37,0,21,20,1,0,21
Michoacán de Ocampo,subdel,Entre 35 y 40 años,202507,608,570,38,0,32,32,0,0,32
Michoacán de Ocampo,subdel,Entre 40 y 45 años,202507,421,392,29,0,23,23,0,0,23
Michoacán de Ocampo,subdel,Entre 45 y 50 años,202507,338,314,24,0,16,16,0,0,16
Michoacán de Ocampo,subdel,Entre 50 y 55 años,202507,223,211,12,0,10,9,1,0,10
Michoacán de Ocampo,subdel,Entre 55 y 60 años,202507,149,144,5,0,8,8,0,0,8
Michoacán de Ocampo,subdel,Entre 60 y 65 años,202507,77,75,2,0,5,5,0,0,5
Michoacán de Ocampo,subdel,Entre 65 y 70 años,202507,21,20,1,0,1,1,0,0,1
Michoacán de Ocampo,subdel,Entre 70 y 75 años,202507,14,14,0,0,0,0,0,0,0
Michoacán de Ocampo,subdel,75 años y más,202507,607,567,40,0,18,15,3,0,18
Michoacán de Ocampo,subdel,Entre 15 y 20 años,202507,335,309,26,0,9,9,0,0,9
Michoacán de Ocampo,subdel,Entre 20 y 25 años,202507,3304,3059,245,0,123,116,7,0,123
Michoacán de Ocampo,subdel,Entre 25 y 30 años,202507,4119,3738,381,0,249,228,21,0,249
Michoacán de Ocampo,subdel,Entre 30 y 35 años,202507,3741,3356,385,0,303,274,29,0,303
Michoacán de Ocampo,subdel,Entre 35 y 40 años,202507,2819,2481,338,0,327,299,28,0,327
Michoacán de Ocampo,subdel,Entre 40 y 45 años,202507,1871,1625,246,0,262,239,23,0,262
Michoacán de Ocampo,subdel,Entre 45 y 50 años,202507,1207,1023,184,0,194,173,21,0,194
Michoacán de Ocampo,subdel,Entre 50 y 55 años,202507,848,743,105,0,181,165,16,0,181
Michoacán de Ocampo,subdel,Entre 55 y 60 años,202507,543,495,48,0,136,127,9,0,136
Michoacán de Ocampo,subdel,Entre 60 y 65 años,202507,337,311,26,0,64,60,4,0,64
Michoacán de Ocampo,subdel,Entre 65 y 70 años,202507,133,117,16,0,30,27,3,0,30
Michoacán de Ocampo,subdel,Entre 70 y 75 años,202507,46,39,7,0,5,5,0,0,5
Morelos,subdel,75 años y más,202507,40,37,3,0,0,0,0,0,0
Morelos,subdel,Entre 15 y 20 años,202507,12,12,0,0,0,0,0,0,0
Morelos,subdel,Entre 20 y 25 años,202507,208,194,14,0,5,5,0,0,5
Morelos,subdel,Entre 25 y 30 años,202507,270,255,15,0,7,6,1,0,7
Morelos,subdel,Entre 30 y 35 años,202507,279,261,18,0,13,12,1,0,13
Morelos,subdel,Entre 35 y 40 años,202507,219,214,5,0,12,12,0,0,12
Morelos,subdel,Entre 40 y 45 años,202507,167,166,1,0,8,8,0,0,8
Morelos,subdel,Entre 45 y 50 años,202507,120,113,7,0,5,5,0,0,5
Morelos,subdel,Entre 50 y 55 años,202507,84,81,3,0,7,7,0,0,7
Morelos,subdel,Entre 55 y 60 años,202507,30,29,1,0,2,2,0,0,2
Morelos,subdel,Entre 60 y 65 años,202507,18,18,0,0,0,0,0,0,0
Morelos,subdel,Entre 65 y 70 años,202507,4,3,1,0,0,0,0,0,0
Morelos,subdel,Entre 70 y 75 años,202507,1,1,0,0,0,0,0,0,0
Morelos,subdel,75 años y más,202507,622,572,50,0,13,13,0,0,13
Morelos,subdel,Entre 15 y 20 años,202507,321,295,26,0,7,6,1,0,7
Morelos,subdel,Entre 20 y 25 años,202507,3247,2914,333,0,117,110,7,0,117
Morelos,subdel,Entre 25 y 30 años,202507,3610,3230,380,0,194,185,9,0,194
Morelos,subdel,Entre 30 y 35 años,202507,2782,2481,301,0,205,183,22,0,205
Morelos,subdel,Entre 35 y 40 años,202507,1919,1707,212,0,212,192,20,0,212
Morelos,subdel,Entre 40 y 45 años,202507,1268,1142,126,0,137,120,17,0,137
Morelos,subdel,Entre 45 y 50 años,202507,800,699,101,0,130,124,6,0,130
Morelos,subdel,Entre 50 y 55 años,202507,485,430,55,0,98,93,5,0,98
Morelos,subdel,Entre 55 y 60 años,202507,290,265,25,0,54,52,2,0,54
Morelos,subdel,Entre 60 y 65 años,202507,124,114,10,0,22,20,2,0,22
Morelos,subdel,Entre 65 y 70 años,202507,40,37,3,0,6,6,0,0,6
Morelos,subdel,Entre 70 y 75 años,202507,16,16,0,0,2,2,0,0,2
México,subdel,75 años y más,202507,248,236,12,0,3,3,0,0,3
México,subdel,Entre 15 y 20 años,202507,124,121,3,0,2,2,0,0,2
México,subdel,Entre 20 y 25 años,202507,2009,1936,73,0,46,45,1,0,46
México,subdel,Entre 25 y 30 años,202507,2612,2483,129,0,90,85,5,0,90
