CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Morelos,202510,Entre 30 y 35 años,354.758,371.863641304,3195,2860,335,0,194,184,10,0
7,Transportes y comunicaciones,Morelos,202510,Entre 35 y 40 años,322.638333333,378.280176471,2182,1964,218,0,188,170,18,0
7,Transportes y comunicaciones,Morelos,202510,Entre 40 y 45 años,329.74125,370.031056911,1505,1374,131,0,131,123,8,0
7,Transportes y comunicaciones,Morelos,202510,Entre 45 y 50 años,327.39625,368.217636364,1051,951,100,0,118,110,8,0
7,Transportes y comunicaciones,Morelos,202510,Entre 50 y 55 años,333.7,383.896404494,689,631,58,0,90,89,1,0
7,Transportes y comunicaciones,Morelos,202510,Entre 55 y 60 años,308.84,377.911111111,355,327,28,0,46,45,1,0
7,Transportes y comunicaciones,Morelos,202510,Entre 60 y 65 años,292.54,381.625666667,160,146,14,0,32,30,2,0
7,Transportes y comunicaciones,Morelos,202510,Entre 65 y 70 años,,366.793333333,42,41,1,0,3,3,0,0
7,Transportes y comunicaciones,Morelos,202510,Entre 70 y 75 años,,318.26,17,17,0,0,1,1,0,0
7,Transportes y comunicaciones,México,202510,75 años y más,339.296923077,343.375117647,7528,6792,736,0,183,170,13,0
7,Transportes y comunicaciones,México,202510,Entre 15 y 20 años,306.72,326.968478261,3163,2931,232,0,49,46,3,0
7,Transportes y comunicaciones,México,202510,Entre 20 y 25 años,353.41,353.669323017,31642,28878,2764,0,1084,1034,50,0
7,Transportes y comunicaciones,México,202510,Entre 25 y 30 años,343.005731707,367.911317907,33932,30972,2960,0,2070,1988,82,0
7,Transportes y comunicaciones,México,202510,Entre 30 y 35 años,346.803365385,373.693779528,27685,25335,2350,0,2390,2286,104,0
7,Transportes y comunicaciones,México,202510,Entre 35 y 40 años,342.546025641,378.982313393,17164,15735,1429,0,1967,1889,78,0
7,Transportes y comunicaciones,México,202510,Entre 40 y 45 años,366.6475,383.279392070,9084,8300,784,0,1187,1135,52,0
7,Transportes y comunicaciones,México,202510,Entre 45 y 50 años,363.9071875,387.586272401,5473,5029,444,0,869,837,32,0
7,Transportes y comunicaciones,México,202510,Entre 50 y 55 años,367.446875,388.788132075,3012,2793,219,0,546,530,16,0
7,Transportes y comunicaciones,México,202510,Entre 55 y 60 años,436.2425,403.604332130,1535,1434,101,0,281,277,4,0
7,Transportes y comunicaciones,México,202510,Entre 60 y 65 años,386.04,370.800454545,711,675,36,0,111,110,1,0
7,Transportes y comunicaciones,México,202510,Entre 65 y 70 años,,393.822608696,246,235,11,0,46,46,0,0
7,Transportes y comunicaciones,México,202510,Entre 70 y 75 años,,358.393333333,59,55,4,0,12,12,0,0
7,Transportes y comunicaciones,Nayarit,202510,75 años y más,421.43,359.303636364,457,429,28,0,12,11,1,0
7,Transportes y comunicaciones,Nayarit,202510,Entre 15 y 20 años,,338.806666667,172,160,12,0,6,6,0,0
7,Transportes y comunicaciones,Nayarit,202510,Entre 20 y 25 años,335.208,344.385116279,2116,1952,164,0,134,129,5,0
