entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Guerrero,subdel,Entre 15 y 20 años,202510,267,250,17,0,7,7,0,0
Guerrero,subdel,Entre 20 y 25 años,202510,2882,2587,295,0,147,140,0,7
Guerrero,subdel,Entre 25 y 30 años,202510,3726,3335,391,0,335,307,0,28
Guerrero,subdel,Entre 30 y 35 años,202510,3251,2918,333,0,345,322,0,23
Guerrero,subdel,Entre 35 y 40 años,202510,2538,2287,251,0,365,347,0,18
Guerrero,subdel,Entre 40 y 45 años,202510,1732,1548,184,0,293,281,0,12
Guerrero,subdel,Entre 45 y 50 años,202510,1238,1106,132,0,244,235,0,9
Guerrero,subdel,Entre 50 y 55 años,202510,859,792,67,0,203,193,0,10
Guerrero,subdel,Entre 55 y 60 años,202510,474,438,36,0,100,97,0,3
Guerrero,subdel,Entre 60 y 65 años,202510,250,233,17,0,55,54,0,1
Guerrero,subdel,Entre 65 y 70 años,202510,100,91,9,0,19,19,0,0
Guerrero,subdel,Entre 70 y 75 años,202510,19,17,2,0,3,3,0,0
Hidalgo,subdel,75 años y más,202510,303,270,33,0,10,10,0,0
Hidalgo,subdel,Entre 15 y 20 años,202510,143,134,9,0,3,3,0,0
Hidalgo,subdel,Entre 20 y 25 años,202510,1609,1466,143,0,91,86,0,5
Hidalgo,subdel,Entre 25 y 30 años,202510,2060,1898,162,0,174,168,0,6
Hidalgo,subdel,Entre 30 y 35 años,202510,2012,1810,202,0,239,226,0,13
Hidalgo,subdel,Entre 35 y 40 años,202510,1381,1274,107,0,181,177,0,4
Hidalgo,subdel,Entre 40 y 45 años,202510,1005,903,102,0,200,195,0,5
Hidalgo,subdel,Entre 45 y 50 años,202510,735,676,59,0,136,132,0,4
Hidalgo,subdel,Entre 50 y 55 años,202510,503,458,45,0,103,95,0,8
Michoacán de Ocampo,subdel,Entre 40 y 45 años,202510,2421,2146,275,0,329,311,0,18
Michoacán de Ocampo,subdel,Entre 45 y 50 años,202510,1687,1494,193,0,251,238,0,13
Michoacán de Ocampo,subdel,Entre 50 y 55 años,202510,1157,1045,112,0,229,218,0,11
Michoacán de Ocampo,subdel,Entre 55 y 60 años,202510,747,698,49,0,149,142,0,7
Michoacán de Ocampo,subdel,Entre 60 y 65 años,202510,462,435,27,0,86,84,0,2
Michoacán de Ocampo,subdel,Entre 65 y 70 años,202510,208,184,24,0,32,31,0,1
Michoacán de Ocampo,subdel,Entre 70 y 75 años,202510,55,54,1,0,9,9,0,0
Morelos,subdel,75 años y más,202510,900,806,94,0,16,15,0,1
Morelos,subdel,Entre 15 y 20 años,202510,406,378,28,0,5,5,0,0
Morelos,subdel,Entre 20 y 25 años,202510,3693,3353,340,0,95,94,0,1
Morelos,subdel,Entre 25 y 30 años,202510,3842,3473,369,0,169,162,0,7
Morelos,subdel,Entre 30 y 35 años,202510,3195,2860,335,0,194,184,0,10
Morelos,subdel,Entre 35 y 40 años,202510,2182,1964,218,0,188,170,0,18
Morelos,subdel,Entre 40 y 45 años,202510,1505,1374,131,0,131,123,0,8
Morelos,subdel,Entre 45 y 50 años,202510,1051,951,100,0,118,110,0,8
Morelos,subdel,Entre 50 y 55 años,202510,689,631,58,0,90,89,0,1
Morelos,subdel,Entre 55 y 60 años,202510,355,327,28,0,46,45,0,1
Morelos,subdel,Entre 60 y 65 años,202510,160,146,14,0,32,30,0,2
