CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Hidalgo,202507,Entre 25 y 30 años,,386.331666667,261,253,8,0,18,18,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 30 y 35 años,,347.940454545,277,261,16,0,22,22,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 35 y 40 años,278.8,307.689444444,188,180,8,0,19,18,1,0
8,Servicios para empresas,Hidalgo,202507,Entre 40 y 45 años,,282.165625,127,120,7,0,16,16,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 45 y 50 años,,302.846666667,101,98,3,0,15,15,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 50 y 55 años,,321.564,67,65,2,0,5,5,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 55 y 60 años,,278.8,49,48,1,0,6,6,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 60 y 65 años,,278.8,33,32,1,0,3,3,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 65 y 70 años,,,8,8,0,0,0,0,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 70 y 75 años,,278.8,2,2,0,0,1,1,0,0
7,Transportes y comunicaciones,Hidalgo,202507,75 años y más,,583.54,221,198,23,0,2,2,0,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 15 y 20 años,,393.04,120,112,8,0,2,2,0,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 20 y 25 años,340.983333333,392.404814815,1493,1323,170,0,57,54,3,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 25 y 30 años,334.406153846,379.739148936,1962,1761,201,0,154,141,13,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 30 y 35 años,333.059523810,388.996931818,1846,1641,205,0,197,176,21,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 35 y 40 años,308.235,384.296333333,1322,1171,151,0,166,150,16,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 40 y 45 años,316.1,395.83224,839,739,100,0,136,125,11,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 45 y 50 años,308.567,399.972571429,588,526,62,0,115,105,10,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 50 y 55 años,292.548333333,374.528450704,389,334,55,0,77,71,6,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 55 y 60 años,,372.945614035,237,226,11,0,57,57,0,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 60 y 65 años,292.55,388.112285714,150,134,16,0,36,35,1,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 65 y 70 años,,355.04,70,58,12,0,11,11,0,0
7,Transportes y comunicaciones,Hidalgo,202507,Entre 70 y 75 años,,341.955,18,17,1,0,2,2,0,0
8,Servicios para empresas,Jalisco,202507,75 años y más,,314.028,267,257,10,0,5,5,0,0
8,Servicios para empresas,Jalisco,202507,Entre 15 y 20 años,,294.503333333,190,183,7,0,6,6,0,0
8,Servicios para empresas,Jalisco,202507,Entre 20 y 25 años,294.23,311.0598,2445,2363,82,0,101,100,1,0
